Nom,price,time,adress,Open,Close
Square Charles Péguy,0.0,0.0,"21 Rue de Rottembourg, 75012 Paris France",9.0,21.0
Théâtre Guichet Montparnasse,0.0,0.0,"15 rue du Maine 14th, 75014 Paris France",9.0,18.0
"La statue ""Annibal""",0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Monument du Corps Expeditionnaire Russe,0.0,0.0,"1 Place du Canada, 75008 Paris France",9.0,21.0
Statue de la Liberté,0.0,0.0,"Rue Auguste Comte Jardin du Luxembourg, 75006 Paris France",9.0,21.0
Buste de Gustave Eiffel,0.0,0.0,"5 avenue Anatole France à proximité du pilier nord de la Tour Eiffel, 75007 Paris France",9.0,21.0
Statue du capitaine Dreyfus,0.0,0.0,"Place Pierre Lafue, 75006 Paris France",9.0,21.0
Monument Jules Ferry,0.0,0.0,"Rue du Rivoli Jardin des Tuileries, 75001 Paris France",9.0,21.0
Cité Véron,0.0,0.0,Tout afficher,9.0,21.0
Marché de la Nation,0.0,0.0,Tout afficher,9.0,21.0
Statue Equestre de Jeanne d'Arc,0.0,0.0,"Place Saint-Augustin, 75008 Paris France",0.0,23.59
Eglise Saint Jacques Saint Christophe de la Villette,0.0,0.0,"6 Place de Bitche, 75019 Paris France",9.0,21.0
Square Marcel Pagnol,0.0,0.0,"12 rue de Laborde, 75008 Paris France",9.0,21.0
Fontaine des Ambassadeurs,0.0,0.0,"Avenue des Champs-Élysées, 75008 Paris France",9.0,21.0
Piscine Georges Vallerey,0.0,0.0,"148 avenue Gambetta 20th Arrondissement, 75020 Paris France",9.0,21.0
Fontaine des Quatre Saisons,0.0,0.0,"57 rue de Grenelle, 75007 Paris France",9.0,21.0
Statue Etienne Marcel,0.0,0.0,"1341 Quai de l'Hôtel de ville, 75004 Paris France",9.0,21.0
Eglise Notre Dame du Perpétuel Secours,0.0,0.0,"55 Boulevard de Menilmontant, 75011 Paris France",9.0,21.0
Le Défenseur du Temps,0.0,0.0,"8 rue Bernard de Clairvaux, 75003 Paris France",9.0,21.0
Statue de Foch,0.0,0.0,"Place du Trocadero, 75016 Paris France",0.0,23.59
Médiathèque Françoise Sagan,0.0,0.0,"8 Rue Léon Schwartzenberg, 75010 Paris France",9.0,21.0
Jardins d'Éole,0.0,0.0,"56 rue d Aubervilliers rue Riquet, 75018 Paris France",9.0,21.0
Hôtel de Matignon,0.0,0.0,"57 rue de Varenne, 75007 Paris France",9.0,21.0
Statue L'Abondance,0.0,0.0,Tout afficher,9.0,21.0
Immeuble 3 Square Rapp,0.0,0.0,"3 Square Rapp, 75007 Paris France",9.0,21.0
Fresque Accident à la Gare Montparnasse,0.0,0.0,"66 avenue du Maine, 75014 Paris France",9.0,21.0
Eglise Saint Dominique,0.0,0.0,"Rue de la Tombe Issoire, 75014 Paris France",9.0,21.0
Square Claude Charpentier,0.0,0.0,"14 rue du Mont-Cenis, 75108 Paris France",9.0,21.0
Theatre de L'Archipel,0.0,2.0,"17 boulevard de Strasbourg, 75010 Paris France",9.0,21.0
Square Suzanne-Buisson,0.0,0.0,"7Bis Rue Girardon, 75018 Paris France",9.0,21.0
La Statue de Sainte-Geneviève,0.0,0.0,"69 boulevard Saint Michel À l'intérieur du Jardin du Luxembourg, 75005 Paris France",9.0,21.0
Centr’Halles Park,0.0,0.0,"117 rue Rambuteau Forum des Halles, 75001 Paris France",9.0,21.0
Buste d'Antoine de Saint-Exupéry,0.0,0.0,"Square Santiago du Chili - 1 avenue de la Motte Picquet, 75007 Paris France",9.0,21.0
