Nom,open,prix,time,adress,note
Arc de Triomphe,De 10:00 à 23:00,"à partir de 17,50€",Moins d'une heure,"Place Charles de Gaulle Place de L'Étoile, 75008 Paris France",4.5
Musée du Louvre,De 09:00 à 18:00,"à partir de 32,90€",2 à 3 heures,"99 Rue de Rivoli, 75001 Paris France",4.5
Cathédrale Notre-Dame de Paris,Ouverture non disponible,Prix non disponible,1 à 2 heures,"6 Parvis Notre-Dame Place Jean-Paul II, 75004 Paris France",4.5
Musée d'Orsay,De 09:30 à 21:45,"à partir de 32,00€",Plus de 3 heures,"1 Rue De La Légion d'Honneur, 75007 Paris France",4.5
Le Marais Paris III,Ouverture non disponible,Prix non disponible,"Laissez vous guider par le hasard au fil des rues pour apprécier l'esprit village de ce quartier du Marais, qui devient toutefois un peu trop bobo à mon goût.Et surtout pensez bien à lever la tête vous aurez de belles surprises architecturales en façade.Le seul bémol à mon avis est qu'au niveau de la restauration il y a beaucoup trop de pièges à touristes.  Alors méfiance. Pour ma part je vous recommande d'aller vous restaurer au petit bouillon Pharamond qui est à 2 pas, vous ne serez pas déçu  (attention à certaines heures il y a affluence et donc un peu de queue, mais vous ne serez pas déçu)","3e Arrondissement 3e Arrondissement, 75003 Paris France",4.5
Place des Vosges Paris IV,De 00:00 à 23:59,Prix non disponible,1 à 2 heures,"Place des Vosges 4th Arrondissement, 75004 Paris France",4.5
Musée des Arts Forains Paris XII,Ouverture non disponible,Prix non disponible,1 à 2 heures,"53 Avenue des Terroirs de France, 75012 Paris France",4.5
Parc des Buttes-Chaumont Paris XIX,De 07:00 à 22:00,Prix non disponible,1 à 2 heures,"1 Rue Botzaris, 75019 Paris France",4.5
Musée Rodin Paris VII,De 10:00 à 18:30,"à partir de 18,20€",1 à 2 heures,"79 Rue de Varenne close to Bois de Boulogne, 75007 Paris France",4.5
Jardin du Luxembourg,De 07:30 à 16:30,Prix non disponible,2 à 3 heures,"Rue de Médicis Rue de Vaugirard, 75006 Paris France",4.5
Pont Alexandre-III,Ouverture non disponible,Prix non disponible,Moins d'une heure,"Pont Alexandre III Quai d'Orsay, 75008 Paris France",4.5
Sainte-Chapelle,De 09:00 à 17:00,"à partir de 15,50€",Moins d'une heure,"8 Boulevard du Palais, 75001 Paris France",4.5
La Seine,Ouverture non disponible,Prix non disponible,Nous avons pris un des nombreux bateau qui font le tour sur la Seine. Prévoyez une petite laine si la ballade et en fin dejournée.,Tout afficher,4.5
Basilique du Sacré-Cœur de Montmartre,De 08:30 à 20:00,Prix non disponible,1 à 2 heures,"35 Rue du Chevalier-De-La-Barre, 75018 Paris France",4.5
Musée Marmottan Monet,De 10:00 à 21:00,Prix non disponible,1 à 2 heures,"2 Rue Louis Boilly 16ème  Arrondissement, 75016 Paris France",4.5
La Tour Eiffel,De 09:00 à 23:45,"à partir de 29,90€",Plus de 3 heures,"5 Avenue, 75007 Paris France",4.5
Jardin des Tuileries Paris I,De 07:00 à 21:30,Prix non disponible,2 à 3 heures,"Place de la Concorde, 75001 Paris France",4.5
Musée de l’Orangerie,De 09:00 à 18:00,"à partir de 18,70€",Moins d'une heure,"Jardin des Tuileries - Côté Seine Place de la Concorde, 75058 Paris France",4.5
Quartier Latin,De 00:00 à 23:59,Prix non disponible,Plus de 3 heures,"Quartier Latin, 75005 Paris France",4.5
Petit Palais,De 10:00 à 18:00,Prix non disponible,2 à 3 heures,"Avenue Winston Churchill, 75008 Paris France",4.5
Musée Nissim de Camondo Paris VIII,De 10:00 à 17:30,Prix non disponible,Prix non disponible,"63 Rue de Monceau, 75008 Paris France",4.5
Librairie Shakespeare and Company Paris V,De 12:30 à 20:00,Prix non disponible,Prix non disponible,"37 Rue de la Bûcherie Latin Quarter, 75005 Paris France",4.5
Île de la Cité,Ouverture non disponible,Prix non disponible,Prix non disponible,"Île de la Cité Palais de la Cité, 75001 Paris France",4.5
Montmartre,Ouverture non disponible,Prix non disponible,Prix non disponible,Tout afficher,4.5
Île Saint-Louis,Ouverture non disponible,Prix non disponible,"Sublime ile qui vaut la balade, retrouvez-vous en immersion dans le lieu Paris où chaque recoin vaut le dernier-tour.",Tout afficher,4.5
Quartier Saint-Germain-des-Prés Paris VI,Ouverture non disponible,Prix non disponible,Prix non disponible,"Place St-Germain-des-Pres, 75006 Paris France",4.5
Musée de l’Armée des Invalides,De 10:00 à 18:00,"à partir de 21,00€",2 à 3 heures,"129 Rue de Grenelle Hôtel National des Invalides, 75007 Paris France",4.5
Cimetière du Père-Lachaise,De 08:00 à 18:00,Prix non disponible,2 à 3 heures,"8 Boulevard de Menilmontant, 75020 Paris France",4.5
Champs-Élysées Paris VIII,De 00:00 à 23:59,Prix non disponible,Prix non disponible,"Avenue des Champs Elysees, 75008 Paris France",4.0
Palais Garnier,Ouverture non disponible,Prix non disponible,"Avoir la chance, cette chance de visiter l'Opera Garnier de mesurer son histoire avec une atmosphère incroyable chargée d'histoire.visite libre avec le QR code , en étant organisé l'application vous guide pour prendre votre temps (ouvrir vos yeux, votre cœur) à la découverte de la magie du lieu : vous serez sous le charme si la"" fée de l'opéra""  est là vous assisterez  discrètement ouvert au public à la richesse de l'apprentissage de la danse classique ""MERCI""  mention pour l'accueil du  personnel discret mais présent pour vous accompagner .L'Opéra Garnier restera une empreinte d'Etoiles aux confins du réel et du rêve Pierre","Place de l’Opéra entrance at the corner of Scribe and Auber streets, 75009 Paris France",4.5
