name,address,note,price_min,price_max
Derya,"16 Rue du Faubourg Saint Denis, 75010 Paris France",4.0,15.0,25.0
Cinq-Mars,"De Verneuil 51 rue de Verneuil, 75007 Paris France",4.0,23.0,43.0
Murier,"42 rue Olivier de Serres Metro Convention, 75015 Paris France",4.0,21.0,32.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
L'elfe assis,"48 rue Louise Michel, 92300 Levallois-Perret France",4.0,8.0,20.0
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France",4.0,10.0,25.0
Bar à Iode - Saint Germain,"34 Boulevard Saint Germain, 75005 Paris France",4.0,5.0,50.0
L'Atelier Roulière,"24 rue des Canettes, 75006 Paris France",4.0,30.0,55.0
20 Eiffel,"20 Rue De Monttessuy Paris, 75007 Paris France",4.0,24.0,55.0
Restaurant New Dehli,"4 Passage Brady, 75010 Paris France",4.0,19.0,37.0
Archibon Bar à Vin,"13 rue Rougemont (Grand Rex, Grands Boulevards, Opéra), 75009 Paris France",4.0,10.0,22.0
Canard & Champagne,"57 Passage des Panoramas, 75002 Paris France",4.0,12.0,65.0
A Tavola,"23 rue d Aguesseau, 92100 Boulogne-Billancourt France",4.0,27.0,34.0
Augusto Pizzeria,"14 Rue Victor Masse, 75009 Paris France",4.0,15.0,35.0
La Table Des Oliviers,"4, Rue de l'eglise, 92200 Neuilly-sur-Seine France",4.0,40.0,55.0
Happy Break Libanais,"6 Bis Rue Ernest Renan, 92130 Issy-les-Moulineaux France",4.0,5.0,16.0
Nirvana Inde,"6 rue de Moscou, 75008 Paris France",4.0,20.0,40.0
Dulcinea,"41 Rue Pierre Fontaine, 75009 Paris France",4.0,9.0,45.0
Paris Pyla,"4 Place du 18 Juin 1940, 75006  Paris France",0.0,0.0,0.0
7ème vin,"68 avenue Bosquet, 75007 Paris France",4.0,38.0,58.0
Crêpe Avenue,"4 rue de Surene 75008, 75008 Paris France",4.0,5.0,25.0
Le P'tit Barcelone,"10 Rue de La Boule Rouge, 75009 Paris France",4.0,15.0,30.0
Matteo Pizza Paris 9 Grands Boulevards,"18 Rue Du Faubourg Montmartre, 75009 Paris France",4.0,14.0,33.0
Comme à La Campagne,"41 Place Jeanne D'Arc, 75013 Paris France",4.0,15.0,40.0
Le Picotin,"35 Rue Sibuet, 75012 Paris France",4.0,14.0,30.0
le Compas,"62 Rue Montorgueil, 75002 Paris France",4.0,14.0,22.0
Pamela Popo,"15 rue Francois Miron, 75004 Paris France",4.0,30.0,80.0
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France",5.0,25.0,50.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
Vivre Ópera Garnier,"3 rue de la Michodière, 75002 Paris France",4.0,19.0,39.0
Top Chef Le Bistrot,"29 Quai Gallieni, 92150 Suresnes France",4.0,13.0,45.0
Bistrot Victoires,"6 rue de la Vrilliere, 75001 Paris France",4.0,9.0,15.0
La Girafe,"6 rue de la République, 92170 Vanves France",4.0,10.0,20.0
Thaï Nam,"23, rue des Vertus Arts Et Metiers Ou Temple Ou Republique, 75003 Paris France",4.0,10.0,18.0
Tamarind,"33 rue Francois Miron, 75004 Paris France",4.0,34.0,48.0
Auberge Pyrénées Cévennes,"106 rue de la Folie Mericourt, 75011 Paris France",4.0,20.0,70.0
Le 14 Juillet,"99, Rue Didot, 75014 Paris France",4.0,10.0,30.0
Comme Chai Toi - Notre Dame,"13 quai de Montebello, 75005 Paris France",4.0,25.0,40.0
La Favorite Turbigo,"75 Rue de Turbigo, 75003 Paris France",4.0,13.0,21.0
Spezia Piadina & Co,"23 Rue des Mathurins, 75008 Paris France",4.0,13.0,30.0
Tzeferakos,"24 rue Monge, 75005 Paris France",4.0,,
Maison Binder,"43 Rue Hallé, 75014 Paris France",5.0,11.0,28.0
Pleine Terre,"15 Rue de Bassano, 75116 Paris France",4.0,38.0,95.0
Nirvana Inde,"6 rue de Moscou, 75008 Paris France",4.0,20.0,40.0
Le New York,"48 Avenue De New York, 75116 Paris France",4.0,13.0,75.0
Blueberry Maki Bar,"6, Rue Du Sabot, 75006 Paris France",4.0,10.0,77.0
Matteo Pizza Paris 9 Grands Boulevards,"18 Rue Du Faubourg Montmartre, 75009 Paris France",4.0,14.0,33.0
Comme à La Campagne,"41 Place Jeanne D'Arc, 75013 Paris France",4.0,15.0,40.0
Le Picotin,"35 Rue Sibuet, 75012 Paris France",4.0,14.0,30.0
le Compas,"62 Rue Montorgueil, 75002 Paris France",4.0,14.0,22.0
Pamela Popo,"15 rue Francois Miron, 75004 Paris France",4.0,30.0,80.0
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France",5.0,25.0,50.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
Vivre Ópera Garnier,"3 rue de la Michodière, 75002 Paris France",4.0,19.0,39.0
Top Chef Le Bistrot,"29 Quai Gallieni, 92150 Suresnes France",4.0,13.0,45.0
Bistrot Victoires,"6 rue de la Vrilliere, 75001 Paris France",4.0,9.0,15.0
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France",4.0,10.0,25.0
La Girafe,"6 rue de la République, 92170 Vanves France",4.0,10.0,20.0
Thaï Nam,"23, rue des Vertus Arts Et Metiers Ou Temple Ou Republique, 75003 Paris France",4.0,10.0,18.0
Tamarind,"33 rue Francois Miron, 75004 Paris France",4.0,34.0,48.0
Auberge Pyrénées Cévennes,"106 rue de la Folie Mericourt, 75011 Paris France",4.0,20.0,70.0
Le 14 Juillet,"99, Rue Didot, 75014 Paris France",4.0,10.0,30.0
Restaurant New Dehli,"4 Passage Brady, 75010 Paris France",4.0,19.0,37.0
Comme Chai Toi - Notre Dame,"13 quai de Montebello, 75005 Paris France",4.0,25.0,40.0
La Favorite Turbigo,"75 Rue de Turbigo, 75003 Paris France",4.0,13.0,21.0
Spezia Piadina & Co,"23 Rue des Mathurins, 75008 Paris France",4.0,13.0,30.0
Tzeferakos,"24 rue Monge, 75005 Paris France",4.0,,
Maison Binder,"43 Rue Hallé, 75014 Paris France",5.0,11.0,28.0
Pleine Terre,"15 Rue de Bassano, 75116 Paris France",4.0,38.0,95.0
Paris Pyla,"4 Place du 18 Juin 1940, 75006  Paris France",0.0,0.0,0.0
Le New York,"48 Avenue De New York, 75116 Paris France",4.0,13.0,75.0
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France",4.0,20.0,47.0
Blueberry Maki Bar,"6, Rue Du Sabot, 75006 Paris France",4.0,10.0,77.0
L'Atelier du Parc,"35 boulevard Lefebvre, 75015 Paris France",4.0,25.0,83.0
Maihak,"102 Rue Jean Jaures Metro 7 Last Stop 2 Minuit Walk Maihak Indian Resto, 94800 Villejuif France",4.0,,
Bistrot Pas Parisien,"3 Place du Général Leclerc, 92700 Colombes France",4.0,15.0,35.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France",5.0,14.0,32.0
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France",4.0,10.0,25.0
Atelier Cook And Thi,"35 Chemin De L'ariel, 78430 Louveciennes France",5.0,14.0,45.0
Chez Jaafar,"22 rue du Sommerard Proche quartier Saint Germain, 75005 Paris France",4.0,6.0,22.0
Prik Thai Maine,"160 avenue du Maine, 75014 Paris France",4.0,23.0,48.0
Iovine's,"7Bis Rue du Colonel Driant, 75001 Paris France",4.0,20.0,40.0
La Place Royale,"2 B Place des Vosges, 75004 Paris France",4.0,17.0,49.0
La Grille,"13 Rue Michel Charaire, 92330 Sceaux France",4.0,22.0,51.0
Restaurant New Dehli,"4 Passage Brady, 75010 Paris France",4.0,19.0,37.0
Kagayaki,"79 Boulevard Beaumarchais, 75003 Paris France",4.0,,
L'Anvers du Décor,"32 BIS RUE D'ORSEL au pied du sacré coeur, 75018 Paris France",4.0,18.0,45.0
Le Moulin de la Galette,"15 rue des Moulins, 95110 Sannois France",4.0,60.0,80.0
Fish La Boissonnerie,"69 rue de Seine, 75006 Paris, 75006 Paris France",4.0,18.0,55.0
Le Cosy,"50 Avenue Saint-Mandé, 75012 Paris France",4.0,11.0,22.0
Le Louis Vins,"9 Rue de la Montagne Sainte Genevieve, 75005 Paris France",4.0,20.0,80.0
Mi Ranchito Paisa,"35, rue Monthlon, 75009 Paris France",4.0,6.0,35.0
Pizzeria Le Capri,"17 Rue Fernand Combette, 93100 Montreuil France",5.0,13.0,20.0
Le Temps des cerises,"Marais 31 rue de la Cerisaie, 75004 Paris France",4.0,9.0,37.0
Restaurant Le Meurice Alain Ducasse,"228 Rue de Rivoli, 75001 Paris France",4.0,0.0,0.0
Le Christine,"1 rue Christine, 75006 Paris France",4.0,28.0,65.0
Brasserie Rosie,"53 rue du Faubourg Saint Antoine, 75011 Paris France",4.0,13.0,25.0
Quinte & Sens,"11 Avenue de l'Arche, 92081 Courbevoie, La Defense France",4.0,,
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France",5.0,25.0,50.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France",5.0,14.0,32.0
La Cantine du Troquet Pernety,"101 Rue de L’Ouest, 75014 Paris France",4.0,25.0,35.0
Salento Montmartre,"48 Rue Condorcet, 75009 Paris France",4.0,14.0,35.0
MERSEA Beaupassage,"53-57 Rue de Grenelle, 75007 Paris France",4.0,12.0,20.0
La robe de la Girafe,"5 rue Froment, 75011 Paris France",4.0,7.0,16.0
Plantxa,"58 Rue Gallieni, 92100 Boulogne-Billancourt France",4.0,16.0,45.0
La table de Cybèle,"38 rue de meudon, 92100 Boulogne-Billancourt France",4.0,24.0,43.0
Monjul,"28 rue des Blancs Manteaux, 75004 Paris France",4.0,43.0,43.0
Bonhomme,"58 Rue Du Faubourg Poissonnière, 75010 Paris France",4.0,10.0,28.0
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France",4.0,20.0,47.0
Le Hérisson,"78 Boulevard de Belleville, 75020 Paris France",5.0,9.0,22.0
Le Jules Verne,"Avenue Gustave Eiffel Eiffel Tower - 2nd floor, 75007 Paris France",4.0,0.0,0.0
La Part des Anges,"10 Rue Garreau, 75018 Paris France",4.0,14.0,30.0
Dandy Kitchen,"86 rue Saint Denis Dandy Hotel & Kitchen, 75001 Paris France",4.0,22.0,51.0
Le Bon Georges,"45 rue Saint Georges, 75009 Paris France",4.0,17.0,76.0
Fujiyaki japonais,"15 rue de la roquette Place bastille, 75011 Paris France",4.0,8.0,25.0
Evi Evane,"10 Rue Guisarde, 75006 Paris France",4.0,21.0,46.0
Fric Frac Montmartre,"4 Rue Des Trois Frères, 75018 Paris France",4.0,9.0,23.0
L'imprevu,"94 avenue Anatole France, 94400 Vitry-sur-Seine France",4.0,0.0,0.0
Afaria,"15 rue Desnouettes, 75015 Paris France",4.0,22.0,48.0
Sapristi,"20 Boulevard du Maréchal Foch, 92500 Rueil-Malmaison France",4.0,14.0,33.0
Gandhi Ji's,"12 rue la Fayette, 75009 Paris France",4.0,14.0,19.0
Le Marjolin,"46, Rue Marjolin, 92300 Levallois-Perret France",4.0,18.0,29.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
Le Medaillon,"85, Avenue Republique, 94800 Villejuif France",4.0,28.0,50.0
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France",5.0,14.0,32.0
Le Papillon,"144 Rue de Bagnolet, 75020 Paris France",4.0,11.0,27.0
Le Speakeasy,"25 rue Jean Giraudoux, 75016 Paris France",4.0,18.0,40.0
Kohyang,"6 rue Géneral Estienne, 75015 Paris France",4.0,19.0,47.0
La Cantine de Quentin,"90 Rue de Prony, 75017 Paris France",4.0,17.0,43.0
Chameleon Restaurant,"70, rue René Boulanger Gare de l'Est ou Strasbourg Saint Denis, 75010 Paris France",4.0,17.0,42.0
LE RELAIS GASCON,"6 rue des Abesses Montmartre, 75018 Paris France",4.0,9.0,27.0
Tesoro D'Italia,"65 boulevard Saint Marcel, 75013 Paris France",4.0,9.0,25.0
Simonetta Restaurant,"32 quai de la Marne, 75019 Paris France",4.0,8.0,18.0
Brasserie Baroche,"101 rue la Boetie, 75008 Paris France",4.0,22.0,72.0
Nirvana Inde,"6 rue de Moscou, 75008 Paris France",4.0,20.0,40.0
Au Bougnat,"26 rue Chanoinesse, 75004 Paris France",4.0,19.0,39.0
Dandy Kitchen,"86 rue Saint Denis Dandy Hotel & Kitchen, 75001 Paris France",4.0,22.0,51.0
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France",4.0,20.0,47.0
La Bourgogne,"164 Rue Jean Jaurès, 94700 Maisons-Alfort France",4.0,40.0,65.0
Les Tables d'Augustin,"44 rue Guy Moquet, 75017 Paris France",4.0,13.0,39.0
Nonna et Nonno,"1 Centre Commercial les Arcades Centre Commercial Les Arcades Niveau 2, 93160 Noisy-le-Grand France",4.0,9.0,15.0
Pause Bobun,"3 rue Buffon, 75005 Paris France",4.0,10.0,22.0
Tra di Noi Vasco De Gama,"5 rue Vasco de Gama Restaurant, 75015 Paris France",4.0,20.0,40.0
La Grotte de Chypre,"85 rue Mouffetard, 75005 Paris France",5.0,6.0,10.0
A l'Endroit,"9 rue du Tunnel, 75019 Paris France",4.0,40.0,60.0
Le Bistrot de Charenton,"123 Rue de Paris, 94220 Charenton-le-Pont France",4.0,20.0,40.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
Ristorante Adaggio,"207 rue la Fayette, 75010 Paris France",4.0,15.0,30.0
L'Apibo,"31, Rue Tiquetonne, 75002 Paris France",4.0,20.0,55.0
Gemini Odéon,"9 rue Monsieur le Prince, 75006 Paris France",4.0,10.0,18.0
Flottes,"2 Rue Cambon, 75001 Paris France",4.0,25.0,50.0
Tesoro d'Italia,"41 rue de Paradis, 75010 Paris France",4.0,10.0,35.0
Le Jourdain,"101, Rue Des Couronnes, 75020 Paris France",4.0,20.0,40.0
L'Abreuvoir,"24 Rue du docteur Finlay, 75015 Paris France",4.0,17.0,19.0
Bien Bien,"30 bis, rue Bergère, 75009 Paris France",4.0,21.0,28.0
Le Faubourg,"38 Boulevard De Pesaro, 92000 Nanterre, La Defense France",5.0,14.0,35.0
Fanfan,"18 Rue Bayen, 75017 Paris France",4.0,35.0,95.0
Coin-OP Table,"17 Rue de Maubeuge, 75009 Paris France",5.0,9.0,38.0
Sourire tapas françaises,"27 Rue Galande, 75005 Paris France",4.0,25.0,40.0
L'Atelier Artisan Crêpier,"10 Rue Mabillon, 75006 Paris France",4.0,4.0,21.0
Le Soufflé,"36 rue du Mont Thabor, 75001 Paris France",4.0,15.0,45.0
L’Ours,"10/12, rue de l’Église, 94300 Vincennes France",4.0,0.0,0.0
Paris-Breizh Place d’Italie,"166 Boulevard Vincent Auriol, 75013 Paris France",4.0,15.0,22.0
Les petites bouchées,"4 rue du Roi de Sicile, 75004 Paris France",4.0,14.0,20.0
La Rughetta,"41 rue Lepic Montmartre, Abbeses, 75018 Paris France",4.0,12.0,35.0
Le Bar de Jarente,"5 Rue de Jarente Marais, 75004 Paris France",4.0,25.0,40.0
Kaplan Paris,"20 Rue Cherche Midi, 75006 Paris France",5.0,10.0,25.0
Sur la route de Plouescat,"4 rue Lamarck, 75018 Paris France",4.0,10.0,26.0
Il Pomod'oro,"340 Rue Saint Jacques 340 rue saint Jacques, 75005 Paris France",4.0,10.0,25.0
Bistrot de L'Oulette,"38 Rue des Tournelles Bastille, Place des Vosges, Chemin vert, Opera de Bastille, 75004 Paris France",4.0,17.0,45.0
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France",5.0,25.0,50.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
Anicia,"97 Rue du Cherche Midi, 75006 Paris France",4.0,29.0,55.0
Le Coupe Gorge,"2, Rue de la Coutellerie, 75004 Paris France",4.0,18.0,26.0
Papelli,"74 Rue du Faubourg Saint Denis, 75010 Paris France",4.0,12.0,18.0
Papy aux Fourneaux,"70 rue de l ouest Montparnasse-Gaîté-Pernety, 75014 Paris France",4.0,19.0,37.0
Il Farniente,"250 rue du Faubourg Saint Antoine, 75012 Paris France",4.0,15.0,30.0
Brasserie Bellanger,"140 rue du Faubourg Poissonniere, 75010 Paris France",4.0,10.0,22.0
Mamie Chérie,"16 Rue De Candie, 75011 Paris France",4.0,17.0,26.0
Loufoque,"57 rue Galande, 75005 Paris France",5.0,11.0,23.0
La Vittoria,"173 Rue du Temple, 75003 Paris France",5.0,12.0,20.0
Bistrot des Vosges,"31 Boulevard Beaumarchais Bastille/Marais, 75004 Paris France",4.0,14.0,45.0
L'Italien,"40 rue de Ponthieu, 75008 Paris France",4.0,14.0,50.0
Fanfan,"18 Rue Bayen, 75017 Paris France",4.0,35.0,95.0
Nirvana Inde,"6 rue de Moscou, 75008 Paris France",4.0,20.0,40.0
Le Cornichon,"34 Rue Gassendi, 75014 Paris France",4.0,35.0,55.0
Les Rupins,"35 boulevard de Magenta Angle Boulevard de Magenta et Rue de Nancy, 75010 Paris France",4.0,20.0,40.0
Via Del Campo,"22 rue du Champ de Mars Numero de la suite, intersection, place, 75007 Paris France",5.0,25.0,80.0
Restaurant Karma,"24 rue Traversiere, 75012 Paris France",4.0,10.0,20.0
IZU,"7 rue Véronèse, 75013 Paris France",4.0,8.0,35.0
Kémia paris,"1 rue Bergere, 75009 Paris France",5.0,25.0,45.0
L'Ange 20 Restaurant,"44 Rue des Tournelles, 75004 Paris France",4.0,38.0,42.0
Astair,"19 Passage des Panoramas Intersection entre la Galerie des Variétés et le Passage des Panoramas, 75002 Paris France",4.0,20.0,50.0
Palais du Bonheur,"131 Rue Michel-Ange, 75016 Paris France",4.0,15.0,35.0
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France",5.0,25.0,50.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
Meriggio,"3 Rue Rougemont, 75009 Paris France",4.0,18.0,45.0
Et Toque !,"7 rue Emile Duclaux, 92150 Suresnes France",4.0,19.0,60.0
Baosian,"67 Rue du Faubourg Montmartre, 75009 Paris France",5.0,10.0,20.0
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France",5.0,14.0,32.0
Le Ruisseau Burger Joint,"22 rue Rambuteau, 75003 Paris France",4.0,10.0,15.0
Colvert,"30 Rue des Grands Augustins, 75006 Paris France",4.0,29.0,60.0
Papajazzclub,"3, Rue Saint Benoit, 75006 Paris France",4.0,26.0,60.0
Kuccini,"165 Rue St Denis, 75002 Paris France",4.0,9.0,29.0
Le Jeroboam,"72 rue Didot, 75014 Paris France",4.0,10.0,30.0
Le Bayadère,"35 rue de Berri, 75008 Paris France",5.0,27.0,34.0
Redd,"28 rue Saint Sauveur, 75002 Paris France",4.0,3.0,30.0
La Vittoria,"173 Rue du Temple, 75003 Paris France",5.0,12.0,20.0
Neva Cuisine,"2 Rue de Berne, 75008 Paris France",4.0,0.0,0.0
Le Colimaçon,"44, rue Vieille du Temple Le Marais, 75004 Paris France",4.0,49.0,79.0
Fanfan,"18 Rue Bayen, 75017 Paris France",4.0,35.0,95.0
Nirvana Inde,"6 rue de Moscou, 75008 Paris France",4.0,20.0,40.0
Damigiana,"56 rue Jean Jacques Rousseau, 75001 Paris France",4.0,16.0,50.0
Salento Marais,"6 rue de Jarente, 75004 Paris France",4.0,14.0,35.0
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France",4.0,20.0,47.0
Shiro,"168 Boulevard Saint-Germain, 75006 Paris France",4.0,,
Phillipe Excoffier,"18 Rue de l'Exposition, 75007 Paris France",4.0,29.0,65.0
Chez Quyen-Chi,"53 avenue de la Division Leclerc A côté de la caserne des pompiers sur la nationale 20, 92160 Antony France",5.0,10.0,30.0
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France",5.0,25.0,50.0
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France",4.0,20.0,34.0
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France",4.0,10.0,25.0
Les Saveurs d'Abyssinie,"1, Rue de L'Arbalete, 75005 Paris France",4.0,12.0,17.0
Léandrés  Happy Food & Coffee,"78 Rue de Maubeuge Façade Bleu, 75009 Paris France",5.0,9.0,19.0
Oi Sushi,"8 Rue Mouffetard, 75005 Paris France",4.0,8.0,20.0
Crêperie Gigi,"4 Rue de la Corderie, 75003 Paris France",4.0,15.0,30.0
Le Vaisseau Vert,"10, Rue de Parme, 75009 Paris France",4.0,17.0,50.0
Il Farniente,"1 rue Paul Fort, 75014 Paris France",4.0,15.0,30.0
La Vittoria,"173 Rue du Temple, 75003 Paris France",5.0,12.0,20.0
Galette Café,"2 Rue de l'Université Saint Germain des Près, 75007 Paris France",4.0,7.0,15.0
A La Maison,"128 Avenue du General de Gaulle ., 94500 Champigny-sur-Marne France",4.0,19.0,33.0
Nirvana Inde,"6 rue de Moscou, 75008 Paris France",4.0,20.0,40.0
Lylee,"4 rue Beaugrenelle intersection Rue Linois, 75015 Paris France",5.0,10.0,15.0
Le Physalis,"47, avenue Henri Ginoux, 92120 Montrouge France",4.0,27.0,33.0
Don Giovanni,"11 Place du General de Gaulle, 92330 Sceaux France",4.0,21.0,48.0
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France",4.0,20.0,47.0
Nossa Churrasqueira,"1 Rue de l'Ecole Polytechnique, 75005 Paris France",4.0,8.0,15.0
Le Butcher,"36 Rue de Berri, 75008 Paris France",4.0,9.0,17.0
Le Saint Joseph,"100 boulevard de la Republique, 92250 La Garenne-Colombes France",4.0,20.0,45.0
