NOM,ADRESSE,NOTE,FOURCHETTE DE PRIX
Derya,"16 Rue du Faubourg Saint Denis, 75010 Paris France","4,5",15€ - 25€
Cinq-Mars,"De Verneuil 51 rue de Verneuil, 75007 Paris France","4,5",23€ - 43€
Maoz Vegetarian,"8 rue Xavier Privas, 75005 Paris France","4,5","Restauration rapide, Méditerranéenne, Moyen-Orient"
Murier,"42 rue Olivier de Serres Metro Convention, 75015 Paris France","4,5",21€ - 32€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
L'elfe assis,"48 rue Louise Michel, 92300 Levallois-Perret France","4,5",8€ - 20€
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France","4,0",10€ - 25€
Pizza Di Gio,"48 Rue du Cherche Midi, 75006 Paris France","4,5","Italienne, Pizza, Européenne, Napolitaine, Campanie, Italie du Sud, Méditerranéenne"
Bar à Iode - Saint Germain,"34 Boulevard Saint Germain, 75005 Paris France","4,5",5€ - 50€
L'Atelier Roulière,"24 rue des Canettes, 75006 Paris France","4,5",30€ - 55€
Bourgogne Sud,"14 Rue de Clichy, 75009 Paris France","4,5","Française, Européenne"
Dalia,"93 Rue Montmartre, 75002 Paris France","4,5","Libanaise, Méditerranéenne, Moyen-Orient, Israélienne, Bars-restaurants, Saine"
Bustronome PARIS,"2 avenue Kleber, 75116 Paris France","4,5",70€ - 150€
L'Avant Comptoir,"3 carrefour de l'odéon Sixth Arrondissement, 75006 Paris France","4,5","Française, Bar à vins"
20 Eiffel,"20 Rue De Monttessuy Paris, 75007 Paris France","4,5",24€ - 55€
Restaurant New Dehli,"4 Passage Brady, 75010 Paris France","4,0",19€ - 37€
Le Janissaire,"22 allee Vivaldi, 75012 Paris France","4,5","Méditerranéenne, Turque, Moyen-Orient"
Archibon Bar à Vin,"13 rue Rougemont (Grand Rex, Grands Boulevards, Opéra), 75009 Paris France","4,5",10€ - 22€
Canard & Champagne,"57 Passage des Panoramas, 75002 Paris France","4,5",12€ - 65€
A Tavola,"23 rue d Aguesseau, 92100 Boulogne-Billancourt France","4,5",27€ - 34€
Augusto Pizzeria,"14 Rue Victor Masse, 75009 Paris France","4,5",15€ - 35€
Kitsmé,"76 Rue Des Vignoles, 75020 Paris France",,"Japonaise, Sushi, Asiatique, Brasserie gastronomique, Magasin de douceurs japonaises"
La Table Des Oliviers,"4, Rue de l'eglise, 92200 Neuilly-sur-Seine France","4,5",40€ - 55€
Happy Break Libanais,"6 Bis Rue Ernest Renan, 92130 Issy-les-Moulineaux France","4,5",5€ - 16€
Pasco,"74 Boulevard De La Tour Maubourg, 75007 Paris France","4,5","Française, Européenne"
L'Encrier by DO,"55 Rue Traversière, 75012 Paris France","4,5","Française, Européenne"
Il Sorrentino,"4, rue de Montessuy, 75007 Paris France","4,5","Italienne, Méditerranéenne, Européenne"
Café Francoeur,"129 Rue Caulaincourt, 75018 Paris France","4,5","Française, Bar, Café, Européenne"
Pirouette,"5 Rue Mondetour, 75001 Paris France","4,5","Française, Européenne"
Nirvana Inde,"6 rue de Moscou, 75008 Paris France","4,5",20€ - 40€
Dulcinea,"41 Rue Pierre Fontaine, 75009 Paris France","4,5",9€ - 45€
Paris Pyla,"4 Place du 18 Juin 1940, 75006  Paris France","0,0",Française
Pasqualina,"84 rue Jean le Galleu, 94200 Ivry-sur-Seine France","4,5","Italienne, Pizza, Méditerranéenne"
Le George,"31, Avenue George V, 75008 Paris France","4,5",65€ - 110€
7ème vin,"68 avenue Bosquet, 75007 Paris France","4,5",38€ - 58€
Crêpe Avenue,"4 rue de Surene 75008, 75008 Paris France","4,5",5€ - 25€
Le P'tit Barcelone,"10 Rue de La Boule Rouge, 75009 Paris France","4,5",15€ - 30€
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
Pouzenc,"67 rue de Charenton, 75012 Paris France","5,0","Française, Européenne"
Matteo Pizza Paris 9 Grands Boulevards,"18 Rue Du Faubourg Montmartre, 75009 Paris France","4,5",14€ - 33€
Comme à La Campagne,"41 Place Jeanne D'Arc, 75013 Paris France","4,5",15€ - 40€
Le Picotin,"35 Rue Sibuet, 75012 Paris France","4,5",14€ - 30€
Da Franco,"21 Rue Ruhmkorff, 75017 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud"
le Compas,"62 Rue Montorgueil, 75002 Paris France","4,0",14€ - 22€
Pamela Popo,"15 rue Francois Miron, 75004 Paris France","4,5",30€ - 80€
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Vivre Ópera Garnier,"3 rue de la Michodière, 75002 Paris France","4,5",19€ - 39€
Top Chef Le Bistrot,"29 Quai Gallieni, 92150 Suresnes France","4,5",13€ - 45€
Top Chef Le Bistrot,"16 rue Princesse, 75006 Paris France","4,5","Française, Européenne"
Bistrot Victoires,"6 rue de la Vrilliere, 75001 Paris France","4,5",9€ - 15€
La Girafe,"6 rue de la République, 92170 Vanves France","4,5",10€ - 20€
Thaï Nam,"23, rue des Vertus Arts Et Metiers Ou Temple Ou Republique, 75003 Paris France","4,5",10€ - 18€
La Fresque,"100 rue Rambuteau, 75001 Paris France","4,5","Française, Européenne"
Tamarind,"33 rue Francois Miron, 75004 Paris France","4,5",34€ - 48€
Auberge Pyrénées Cévennes,"106 rue de la Folie Mericourt, 75011 Paris France","4,5",20€ - 70€
Bustronome PARIS,"2 avenue Kleber, 75116 Paris France","4,5",70€ - 150€
Le 14 Juillet,"99, Rue Didot, 75014 Paris France","4,5",10€ - 30€
Comme Chai Toi - Notre Dame,"13 quai de Montebello, 75005 Paris France","4,5",25€ - 40€
La Favorite Turbigo,"75 Rue de Turbigo, 75003 Paris France","4,5",13€ - 21€
Spezia Piadina & Co,"23 Rue des Mathurins, 75008 Paris France","4,5",13€ - 30€
Kitsmé,"76 Rue Des Vignoles, 75020 Paris France",,"Japonaise, Sushi, Asiatique, Brasserie gastronomique, Magasin de douceurs japonaises"
Comme A Lisbonne,"37 rue du Roi de Sicile, 75004 Paris France","4,5","Européenne, Portugaise"
Le Petit Chatelet,"39 Rue de la Bucherie, 75005 Paris France","4,5","Française, Européenne"
Tzeferakos,"24 rue Monge, 75005 Paris France","4,5",Grecque
Maison Binder,"43 Rue Hallé, 75014 Paris France","5,0",11€ - 28€
Pleine Terre,"15 Rue de Bassano, 75116 Paris France","4,5",38€ - 95€
Nirvana Inde,"6 rue de Moscou, 75008 Paris France","4,5",20€ - 40€
Le Relais Louis XIII,"8 Rue Des Grands Augustins, 75006 Paris France","4,5","Française, Européenne"
Braisenville,"36 rue Condorcet Proche de Montmartre et des Grands Magasins à Opéra, 75009 Paris France","4,5","Française, Européenne, Internationale, Moderne"
Le New York,"48 Avenue De New York, 75116 Paris France","4,5",13€ - 75€
La Cave Gourmande,"96 rue des Martyrs, 75018 Paris France","4,5","Française, Européenne"
Blueberry Maki Bar,"6, Rue Du Sabot, 75006 Paris France","4,5",10€ - 77€
Le cardinal,"6 Place du Cardinal Mercier, 95880 Enghien-les-Bains France","4,5","Française, Saine"
Pouzenc,"67 rue de Charenton, 75012 Paris France","5,0","Française, Européenne"
Matteo Pizza Paris 9 Grands Boulevards,"18 Rue Du Faubourg Montmartre, 75009 Paris France","4,5",14€ - 33€
Comme à La Campagne,"41 Place Jeanne D'Arc, 75013 Paris France","4,5",15€ - 40€
Le Picotin,"35 Rue Sibuet, 75012 Paris France","4,5",14€ - 30€
le Compas,"62 Rue Montorgueil, 75002 Paris France","4,0",14€ - 22€
Pamela Popo,"15 rue Francois Miron, 75004 Paris France","4,5",30€ - 80€
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Vivre Ópera Garnier,"3 rue de la Michodière, 75002 Paris France","4,5",19€ - 39€
Top Chef Le Bistrot,"29 Quai Gallieni, 92150 Suresnes France","4,5",13€ - 45€
Le Bistrot d'Henri,"16 rue Princesse, 75006 Paris France","4,5","Française, Européenne"
Bistrot Victoires,"6 rue de la Vrilliere, 75001 Paris France","4,5",9€ - 15€
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France","4,0",10€ - 25€
La Girafe,"6 rue de la République, 92170 Vanves France","4,5",10€ - 20€
Thaï Nam,"23, rue des Vertus Arts Et Metiers Ou Temple Ou Republique, 75003 Paris France","4,5",10€ - 18€
La Fresque,"100 rue Rambuteau, 75001 Paris France","4,5","Française, Européenne"
Tamarind,"33 rue Francois Miron, 75004 Paris France","4,5",34€ - 48€
Auberge Pyrénées Cévennes,"106 rue de la Folie Mericourt, 75011 Paris France","4,5",20€ - 70€
Bustronome PARIS,"2 avenue Kleber, 75116 Paris France","4,5",70€ - 150€
Le 14 Juillet,"99, Rue Didot, 75014 Paris France","4,5",10€ - 30€
Restaurant New Dehli,"4 Passage Brady, 75010 Paris France","4,0",19€ - 37€
Comme Chai Toi - Notre Dame,"13 quai de Montebello, 75005 Paris France","4,5",25€ - 40€
La Favorite Turbigo,"75 Rue de Turbigo, 75003 Paris France","4,5",13€ - 21€
Spezia Piadina & Co,"23 Rue des Mathurins, 75008 Paris France","4,5",13€ - 30€
Comme A Lisbonne,"37 rue du Roi de Sicile, 75004 Paris France","4,5","Européenne, Portugaise"
Le Petit Chatelet,"39 Rue de la Bucherie, 75005 Paris France","4,5","Française, Européenne"
Tzeferakos,"24 rue Monge, 75005 Paris France","4,5",Grecque
Maison Binder,"43 Rue Hallé, 75014 Paris France","5,0",11€ - 28€
Pleine Terre,"15 Rue de Bassano, 75116 Paris France","4,5",38€ - 95€
Le Relais Louis XIII,"8 Rue Des Grands Augustins, 75006 Paris France","4,5","Française, Européenne"
Paris Pyla,"4 Place du 18 Juin 1940, 75006  Paris France","0,0",Française
Braisenville,"36 rue Condorcet Proche de Montmartre et des Grands Magasins à Opéra, 75009 Paris France","4,5","Française, Européenne, Internationale, Moderne"
Le New York,"48 Avenue De New York, 75116 Paris France","4,5",13€ - 75€
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France","4,0",20€ - 47€
La Cave Gourmande,"96 rue des Martyrs, 75018 Paris France","4,5","Française, Européenne"
Blueberry Maki Bar,"6, Rue Du Sabot, 75006 Paris France","4,5",10€ - 77€
Le cardinal,"6 Place du Cardinal Mercier, 95880 Enghien-les-Bains France","4,5","Française, Saine"
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
L'Atelier du Parc,"35 boulevard Lefebvre, 75015 Paris France","4,5",25€ - 83€
Maihak,"102 Rue Jean Jaures Metro 7 Last Stop 2 Minuit Walk Maihak Indian Resto, 94800 Villejuif France","4,5",Indienne
Bistrot Pas Parisien,"3 Place du Général Leclerc, 92700 Colombes France","4,0",15€ - 35€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France","5,0",14€ - 32€
Ô Soleil de Naples,"56 Rue de Babylone, 75007 Paris France","4,0",10€ - 25€
Atelier Cook And Thi,"35 Chemin De L'ariel, 78430 Louveciennes France","5,0",14€ - 45€
Chez Jaafar,"22 rue du Sommerard Proche quartier Saint Germain, 75005 Paris France","4,5",6€ - 22€
Prik Thai Maine,"160 avenue du Maine, 75014 Paris France","4,5",23€ - 48€
Mouffetard Saigon's,"85 rue du Cardinal Lemoine rue des Rennes in this review should be rue de Rennes. Thank you for correcting, 75005 Paris France","4,5","Asiatique, Vietnamienne, Saine"
Iovine's,"7Bis Rue du Colonel Driant, 75001 Paris France","4,5",20€ - 40€
La Place Royale,"2 B Place des Vosges, 75004 Paris France","4,5",17€ - 49€
L'Entracte Bistrot,"21 Rue Malte Brun, 75020 Paris France","4,5","Française, Européenne"
La Grille,"13 Rue Michel Charaire, 92330 Sceaux France","4,5",22€ - 51€
Bustronome PARIS,"2 avenue Kleber, 75116 Paris France","4,5",70€ - 150€
Restaurant New Dehli,"4 Passage Brady, 75010 Paris France","4,0",19€ - 37€
Kagayaki,"79 Boulevard Beaumarchais, 75003 Paris France","4,5",Japonaise
L'Anvers du Décor,"32 BIS RUE D'ORSEL au pied du sacré coeur, 75018 Paris France","4,5",18€ - 45€
La Passerelle,"172 Quai de Stalingrad, 92130 Issy-les-Moulineaux France","4,5","Française, Européenne"
Le Moulin de la Galette,"15 rue des Moulins, 95110 Sannois France","4,5",60€ - 80€
Bistro Volnay,"8 rue Volney, 75002 Paris France","4,5","Française, Européenne"
Les 110 de Taillevent,"195 Rue du faubourg Saint-Honore, 75008 Paris France","4,5","Brasserie gastronomique, Française, Européenne"
Le Petit Commines,"16 Rue Commines Le marais, 75003 Paris France","4,5","Française, Européenne, Saine"
Fish La Boissonnerie,"69 rue de Seine, 75006 Paris, 75006 Paris France","4,5",18€ - 55€
Le Cosy,"50 Avenue Saint-Mandé, 75012 Paris France","4,5",11€ - 22€
Kitsmé,"76 Rue Des Vignoles, 75020 Paris France",,"Japonaise, Sushi, Asiatique, Brasserie gastronomique, Magasin de douceurs japonaises"
Mensae,"23 rue Melingue, 75019 Paris France","4,5","Française, Européenne"
Le Louis Vins,"9 Rue de la Montagne Sainte Genevieve, 75005 Paris France","4,5",20€ - 80€
Mi Ranchito Paisa,"35, rue Monthlon, 75009 Paris France","4,0",6€ - 35€
Pizzeria Le Capri,"17 Rue Fernand Combette, 93100 Montreuil France","5,0",13€ - 20€
Le Temps des cerises,"Marais 31 rue de la Cerisaie, 75004 Paris France","4,5",9€ - 37€
Xin Gainian,"55 rue Dauphine, 75006 Paris France","4,5","Chinoise, Asiatique, Vietnamienne"
Restaurant Le Meurice Alain Ducasse,"228 Rue de Rivoli, 75001 Paris France","4,5",Française
Le Christine,"1 rue Christine, 75006 Paris France","4,5",28€ - 65€
Le Timgad,"37 rue de l Alma, 92400 Courbevoie, La Defense France","4,5","Marocaine, Méditerranéenne, Moyen-Orient, Tunisienne"
Bistrot Richelieu,"45 rue de Richelieu, 75001 Paris France","4,5","Française, Européenne"
Café de l'Homme,"17 place du Trocadéro, 75116 Paris France","3,5",85€ - 350€
La Bauhinia,"10 avenue d'Iena Shangri-La Hotel Lobby Level and Mezzanine, 75116 Paris France","4,5",44€ - 120€
Gloria Restaurant,"108 Rue Saint Dominique, 75007 Paris France","4,5","Italienne, Méditerranéenne, Européenne"
Da Franco,"21 Rue Ruhmkorff, 75017 Paris France","4,5","Italienne, Méditerranéenne, Européenne, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud"
Brasserie Rosie,"53 rue du Faubourg Saint Antoine, 75011 Paris France","4,5",13€ - 25€
Quinte & Sens,"11 Avenue de l'Arche, 92081 Courbevoie, La Defense France","4,5",Bar
Bloom Garden Restaurant by Olivier Streiff,"23 Rue du Château Landon Bloom House Hôtel, 75010 Paris France","5,0",25€ - 50€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France","5,0",14€ - 32€
La Cantine du Troquet Pernety,"101 Rue de L’Ouest, 75014 Paris France","4,5",25€ - 35€
Salento Montmartre,"48 Rue Condorcet, 75009 Paris France","4,5",14€ - 35€
Camélia,"251 rue Saint-Honoré Hôtel Mandarin Oriental, 75001 Paris France","4,5","Française, Européenne"
Aux Anysetiers Du Roy Restaurant,"61 rue Saint Louis en L Ile, 75004 Paris France","4,5","Française, Européenne"
BIANCA,"2 Rue du Quatre Septembre, 75002 Paris France","4,5","Italienne, Ligurienne, Italie du Nord, Européenne"
Le Chef Thaï,"59, Rue des Gravilliers 75003 Paris, 75003 Paris France","4,5","Asiatique, Thaï"
MERSEA Beaupassage,"53-57 Rue de Grenelle, 75007 Paris France","4,5",12€ - 20€
Café Jean,"181 Avenue Jean Jaurès Near Cite de Sciences, 75019 Paris France","4,5","Café, Européenne, Diner, Française, Bar"
Casa Vina,"6 rue Rampon, 75011 Paris France","4,5","Italienne, Pizza, Méditerranéenne, Européenne"
Barock's,"25 rue Diderot 25 rue Diderot, 92140, Issy-les-Moulineaux, Hauts-de-Seine, Île-de-France, 92130 Issy-les-Moulineaux France","4,5","Française, Européenne"
La robe de la Girafe,"5 rue Froment, 75011 Paris France","4,5",7€ - 16€
Plantxa,"58 Rue Gallieni, 92100 Boulogne-Billancourt France","4,5",16€ - 45€
La table de Cybèle,"38 rue de meudon, 92100 Boulogne-Billancourt France","4,0",24€ - 43€
Monjul,"28 rue des Blancs Manteaux, 75004 Paris France","4,5",43€ - 43€
Bonhomme,"58 Rue Du Faubourg Poissonnière, 75010 Paris France","4,5",10€ - 28€
L'Orriù di Beauvau,"4 rue des Saussaies, 75008 Paris France","4,0",20€ - 47€
Le Clarence,"31, Avenue Franklin D. Roosevelt, 75008 Paris France","4,5",130€ - 350€
Shang Palace,"10 Avenue D'Iena, 75116 Paris France","4,5",66€ - 157€
Le Hérisson,"78 Boulevard de Belleville, 75020 Paris France","5,0",9€ - 22€
Le Jules Verne,"Avenue Gustave Eiffel Eiffel Tower - 2nd floor, 75007 Paris France","4,0",Française
La Part des Anges,"10 Rue Garreau, 75018 Paris France","4,5",14€ - 30€
Dandy Kitchen,"86 rue Saint Denis Dandy Hotel & Kitchen, 75001 Paris France","4,0",22€ - 51€
Le Bon Georges,"45 rue Saint Georges, 75009 Paris France","4,5",17€ - 76€
Fujiyaki japonais,"15 rue de la roquette Place bastille, 75011 Paris France","4,5",8€ - 25€
Evi Evane,"10 Rue Guisarde, 75006 Paris France","4,5",21€ - 46€
Fric Frac Montmartre,"4 Rue Des Trois Frères, 75018 Paris France","4,5",9€ - 23€
L'imprevu,"94 avenue Anatole France, 94400 Vitry-sur-Seine France","4,5",Française
Afaria,"15 rue Desnouettes, 75015 Paris France","4,0",22€ - 48€
Sapristi,"20 Boulevard du Maréchal Foch, 92500 Rueil-Malmaison France","4,5",14€ - 33€
Gandhi Ji's,"12 rue la Fayette, 75009 Paris France","4,0",14€ - 19€
Le Marjolin,"46, Rue Marjolin, 92300 Levallois-Perret France","4,5",18€ - 29€
L'Envigne,"9 rue de Moscou Quartier Place Clichy, 75008 Paris France","4,5",20€ - 34€
Le Medaillon,"85, Avenue Republique, 94800 Villejuif France","4,5",28€ - 50€
La Baignoire,"7 Rue Notre Dame de Bonne Nouvelle, 75002 Paris France","5,0",14€ - 32€
Le Papillon,"144 Rue de Bagnolet, 75020 Paris France","4,5",11€ - 27€
Little Red Door,"60 rue Charlot, 75003 Paris France","4,5","Ouvert tard, Boissons"
Soon Restaurant,"8e Arrondissement 20 rue Jean Mermoz, 75008 Paris France","4,5","Asiatique, Coréenne"
Gabylou,"15 rue d Armaille, 75017 Paris France","4,5","Française, Européenne"
Le Grand Restaurant Jean françois Piège,"7 Rue d'Aguesseau, 75008 Paris France","4,5",104€ - 146€
Au Virage Lepic,"61 rue Lepic, 75018 Paris France","4,5","Française, Européenne"
Le Speakeasy,"25 rue Jean Giraudoux, 75016 Paris France","4,0",18€ - 40€
Kohyang,"6 rue Géneral Estienne, 75015 Paris France","4,5",19€ - 47€
BLACK PINKY,"30 B rue de la Gaite, 75014 Paris France","4,5","Asiatique, Thaï, Vietnamienne, Indonésienne, cambodgienne"
Bustronome PARIS,"2 avenue Kleber, 75116 Paris France","4,5",70€ - 150€
La Cantine de Quentin,"90 Rue de Prony, 75017 Paris France","4,5",17€ - 43€
Chameleon Restaurant,"70, rue René Boulanger Gare de l'Est ou Strasbourg Saint Denis, 75010 Paris France","4,5",17€ - 42€
Asia Bo bun,"41 rue de Lappe, 75011 Paris France","4,5","Asiatique, Vietnamienne"
Restaurant Cléo,"19 boulevard de la Tour Maubourg, 75007 Paris France","4,5",37€ - 140€
Frenchie - Rue du Nil,"5 rue du Nil, 75002 Paris France","4,5",70€ - 125€
Le Violon d'Ingres,"135 Rue Saint Dominique, 75007 Paris France","4,5",46€ - 140€
LE RELAIS GASCON,"6 rue des Abesses Montmartre, 75018 Paris France","4,5",9€ - 27€
Tesoro D'Italia,"65 boulevard Saint Marcel, 75013 Paris France","4,5",9€ - 25€
Les Affranchis,"5 rue Henry Monnier, 75009 Paris France","4,5",75€ - 100€
