NOM,ADRESSE,NOTE,FOURCHETTE DE PRIX
Orgueil,"6 rue Popincourt, 75011 Paris France","5,0",20€ - 55€
The Green Goose,"19 rue des Boulets, 75011 Paris France","4,5","Brasserie gastronomique, Irlandaise, Bar, Européenne, Pub"
Cavale,"40 Rue des Petites Écuries, 75010 Paris France","5,0","Française, Européenne, Saine"
Pur' - Jean-François Rouquette,"5 Rue de La Paix Park Hyatt Paris, 75002 Paris France","5,0",250€ - 490€
Chez Nicos,"44 rue Mouffetard, 75005 Paris France","4,5",4€ - 10€
L'Empreinte,"5 Rue Mouton Duvernet, 75014 Paris France","4,5",29€ - 49€
Alliance,"5 Rue de Poissy, 75005 Paris France","5,0",75€ - 245€
L'Atelier Ramey,"23 Rue Ramey, 75018 Paris France","4,5",18€ - 42€
Perlimpinpin,"121 Rue De Rome, 75017 Paris France","5,0",15€ - 27€
Le 27 Gourmand,"27 boulevard des Batignolles, 75008 Paris France","4,5",Française
Bistrot Kinzo,"13 rue Rougemont, 75009 Paris France","5,0",18€ - 49€
Le Comptoir Boutary,"32 Rue Catherine De La Rochefoucauld, 75009 Paris France","5,0",19€ - 47€
CHEZ BOUBOULE,"0 Avenue Trudaine Angle avenue Trudaine et rue de Rochechouart, 75009 Paris France","4,5",5€ - 50€
Da Giuseppe,"76 rue du Faubourg Poissonniere, 75010 Paris France","5,0",5€ - 13€
Chez Cleopatre,"46 Rue Condorcet, 75009 Paris France","5,0",6€ - 24€
Marche Ou Crêpe,"18 rue des Haies, 75020 Paris France","5,0",8€ - 14€
Les Apotres de Pigalle,"2 Rue Germain Pilon, 75018 Paris France","5,0",5€ - 25€
New Jawad Longchamp,"30 rue de Longchamp, 75116 Paris France","5,0","Indienne, Pakistanaise"
Le Bistrot de Madeleine,"4 avenue Trudaine, 75009 Paris France","5,0","Française, Moderne"
EatWith: Odile of Paris,Paris France,"5,0",Française
Assanabel,"6 Rue Pierre Chausson, 75010 Paris France","5,0",30€ - 60€
Bus Toqué,"67 Av. des Champs-Élysées, 75008 Paris France","5,0",65€ - 105€
